languages of ghana	country	none
equatorial guinea	country	none
david w. bates	american	none
stephen jackson	american	none
american	rachel dennison	none
american	home on the range (2004 film)	none
american	spider-man unlimited	none
american	devil doll (american band)	none
country	geography of mongolia	none
curry bread	food	hypernym
american	george hildebrand	none
mike tyson mysteries	american	none
mike nugent (soccer)	american	none
country	shelby lynne discography	none
squidbillies	american	none
the outsider (1926 film)	american	none
american	hush puppies	none
american	ronnie ray	none
country	cameroon	none
viva buddy	american	none
american	george marino discography	none
treasury varieties	american	none
american	spider-man: the new animated series	none
american	dan schreiber	none
enoch j. rector	american	none
oyedaea	american	none
american	d'mile	none
food	maíz con hielo	hyponym
sedric webber	american	none
dolly dimples (comic strip)	american	none
american	jeffrey pine	none
american	barry richter	none
american	chalkzone	none
country	list of companies based in sudan	none
food	brem	hyponym
list of the powerpuff girls episodes	american	none
ruth rivkin	american	none
american	the miller sisters (singers)	none
country	economy of brunei	none
american	the adventures of hyperman	none
media	awesomenesstv	none
food	lotte (conglomerate)	concept
american	kelsey k-16	none
american	earthworm jim (tv series)	none
food	engro foods	concept
american	nancy gardner prince	none
american	harry perry (musician)	none
gail zeiler	country	none
morocco	country	none
jeff mcinnis	american	none
my sister eileen (1955 film)	american	none
american	spiderbabe	none
american	phillup partin	none
country	currier island	none
american	sandy campbell (canoeist)	none
american	dikembe mutombo	none
country	wxtg (am)	none
philippines campaign (1944–45)	american	none
american	mary price	none
american	tom glavine	none
american	tetrarch (band)	none
american	george h. lown	none
american	cloverfield	none
american	young justice (tv series)	none
matty's funday funnies	american	none
american	de hirsh margules	none
american	the orange thief	none
merciless death	american	none
clam cake	food	hypernym
country	turin national university library	none
mohammed mourhit	country	none
edgar valdez villarreal	american	none
loretta lynn	country	none
country	battle of ahmed khel	none
american	csx corporation	none
american	cooley's anemia foundation	none
american	"tarzeena, queen of kong island"	none
pepper ann	american	none
american	teyo johnson	none
sam warburg	american	none
country	human trafficking in cyprus	none
everett w. stewart	american	none
american	bob ewbank	none
werly fairburn	american	none
american	renaldo lapuz	none
american	bill ratner	none
american	charley reese	none
joseph ryan (rower)	american	none
american	marietta walker	none
flavour and life	food	instance
big katsu	food	hypernym
james benjamin parker	american	none
vizio	american	none
american	wyatt gooden	none
country	jack earls	none
