trust no one (internet security)	approach	hypernym
human computer interaction (security)	study	hypernym
igor muttik	expert	concept
organization	(isc)²	instance
hacker	0x80	instance
virus	1260 (computer virus)	instance
emulator	1964 (emulator)	instance
undefined behavior	result	hypernym
skipjack (cipher)	algorithm	hypernym
arp spoofing	technique	hypernym
policy	system	hypernym
xscreensaver	collection	hypernym
beyondtrust	company	concept
asset	resource	hypernym
interbase	system	concept
sparc	instruction	concept
list of government mass surveillance projects	list	hypernym
ibm system z10	line	concept
dialer	1legcall	instance
umts	3 skypephone	instance
umts	3 skypephone s2	instance
domainkeys identified mail	method	hypernym
certificate-based encryption	system	hypernym
server	389 directory server	instance
security policy	definition	hypernym
software	3cx phone system	instance
malware	3wplayer	instance
ccie certification	certification	concept
virus	4k (computer virus)	instance
real time streaming protocol	protocol	hypernym
ron rivest	cryptographer	concept
salvatore d. morgera	engineer	concept
property	completeness (cryptography)	hyponym
polymorphic engine	program	hypernym
haystack (software)	program	hypernym
anthony zboralski	hacker	concept
computer task group	company	hypernym
email fraud	deception	hypernym
rustock botnet	botnet	concept
oblivious data structure	structure	hypernym
major cities of europe it users group	association	hypernym
network access protection	technology	hypernym
deception	9th airborne division (united states)	instance
compiler	a-0 system	instance
countermeasure (computer)	action	hypernym
upering	worm	hypernym
internet explorer mobile	browser	hypernym
three-stage quantum cryptography protocol	method	hypernym
ms-chap	version	concept
detection	aaq-26	instance
linux console	system	hypernym
hacker	abbassa malik	instance
virus	abc (computer virus)	instance
authorization certificate	document	hypernym
digital audio access protocol	protocol	hypernym
national vulnerability database	repository	hypernym
linux-vserver	implementation	hypernym
php	language	hypernym
opie authentication system	initialism	hypernym
icechat	client	concept
ctx (computer virus)	virus	concept
plone (software)	system	concept
software	abc (yet another bittorrent client)	instance
anna kournikova (computer virus)	worm	concept
akelarre (cipher)	cipher	hypernym
qualified security assessor	designation	hypernym
server	abmaps	instance
compiler	acc (programming language)	instance
multi media interface	system	hypernym
software	aceproject	instance
mobile device forensics	branch	hypernym
dangling pointer	pointers	hypernym
smartphone	acer allegro	instance
canadian internet registration authority	organization	hypernym
qemu	hypervisor	hypernym
smartphone	acer betouch	instance
smartphone	acer betouch e110	instance
crypto phone	telephones	hypernym
trillian (software)	application	hypernym
cryptosystem	convergent encryption	hyponym
smartphone	acer betouch e120	instance
cdnetworks	network	concept
gisbert hasenjaeger	logician	concept
smartphone	acer betouch e130	instance
smartphone	acer betouch e140	instance
adi shamir	cryptographer	concept
smartphone	acer betouch e200	instance
total intelligence solutions	management	concept
adaptive server enterprise	product	hypernym
risc-v	instruction	hypernym
johnny long	expert	concept
network function virtualization	concept	hypernym
smartphone	acer betouch e400	instance
geforce	brand	concept
smartphone	acer cloudmobile s500	instance
smartphone	acer liquid a1	instance
internet	system	hypernym
smartphone	acer liquid e	instance
telegraphy	transmission	hypernym
natas (computer virus)	virus	concept
personal antivirus	software	hypernym
avenda systems	start-up	concept
asia-pacific network information centre	registry	concept
computercop	software	hypernym
4frontsecurity	provider	concept
package manager	collection	hypernym
smartphone	acer liquid z5	instance
smartphone	acer liquid z630	instance
pda	acer n311	instance
hotline	communications	hypernym
pda	acer n50	instance
smartphone	acer neotouch	instance
smartphone	acer neotouch p300	instance
smartphone	acer neotouch p400	instance
security awareness	knowledge	hypernym
identity theft	use	hypernym
smartphone	acer neotouch s200	instance
industrial espionage	form	hypernym
application firewall	form	hypernym
video banking	term	hypernym
turing robotic industries	company	hypernym
smartphone	acer stream	instance
cipher	achterbahn	instance
vision mobile browser	platform	hypernym
linked list	collection	hypernym
failed state	body	hypernym
database activity monitoring	technology	hypernym
virus	acid (computer virus)	instance
software	acid cryptofiler	instance
extended smtp	definition	hypernym
mumu (computer worm)	worm	hypernym
virus	acme (computer virus)	instance
remote desktop services	components	hypernym
google drive	storage	hypernym
code audit	analysis	hypernym
computer	acorn network computer	instance
sim application toolkit	standard	hypernym
network virtualization	process	hypernym
computer and network surveillance	monitoring	hypernym
seed	cipher	hypernym
computer	acorn network computer	instance
rickrolling	prank	hypernym
nanoc	compiler	concept
message	across the universe (message)	instance
message	action alert	hyponym
software	actionstep	instance
firewall	activearmor	instance
firewall	activearmor	instance
darpa	actuv	instance
mynotex	software	concept
virus	ada (computer virus)	instance
software	demultiplexer (media file)	hyponym
hacker	adam botbyl	instance
fraud	address fraud	instance
nils melzer	expert	concept
software	adms	instance
weightless (wireless communications)	set	hypernym
workstation	adobe audition	instance
software	adobe connect	instance
workgroup (computer networking)	term	hypernym
basic access authentication	method	hypernym
software	adobe creative cloud	instance
software	adobe creative cloud	instance
eucalyptus (software)	software	hypernym
national collegiate cyber defense competition	event	hypernym
server	adobe jrun	instance
data loss	condition	hypernym
software	adobe livecycle reader extensions	instance
emulator	adripsx	instance
computer	advanced maryland automatic network disk archiver	instance
common computing security standards forum	organization	hypernym
computer	advanced maryland automatic network disk archiver	instance
internationalization and localization	means	hypernym
process control network	network	hypernym
fraud	advance-fee scam	hyponym
software	adventure game toolkit	instance
outsourcing	aegis (company)	instance
emulator	aemulor	instance
emulator	aeolus (organ simulator)	instance
cassidy wolf	model	concept
michigan terminal system	systems	concept
software	aeolus (software)	instance
document	aes-2id	instance
cipher	affine cipher	instance
ayasdi	company	concept
rootkit	afx windows rootkit 2003	instance
festi botnet	botnet	concept
virus	agena (computer virus)	instance
khalil sehnaoui	consultant	concept
platform as a service	category	hypernym
dos	agi-plan	instance
virustotal	website	concept
backdoor.win32.ircbot	worm	concept
software	ahnenblatt	instance
data-centric security	approach	hypernym
software	ahpl	instance
threefish	cipher	hypernym
asp.net mvc	framework	hypernym
